,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Antonio Adán,es ESP,GK,Atlético Madrid,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Aday,es ESP,"DF,MF",Girona,7.2,9,8,2,5,2,6,7,85.7,1,1,0,1,7,16,17,1
3,Aritz Aduriz,es ESP,FW,Athletic Club,10.5,4,2,1,1,2,1,7,14.3,6,2,1,1,0,4,4,0
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,26.5,52,38,38,12,2,21,31,67.7,10,22,2,20,19,71,60,1
5,Martin Agirregabiria,es ESP,DF,Alavés,22.6,45,29,32,10,3,28,46,60.9,18,33,11,22,27,72,65,1
6,Juan Aguilera,es ESP,MF,Huesca,3.8,2,2,0,1,1,1,4,25,3,4,2,2,4,6,2,0
7,Carlos Akapo,gq EQG,DF,Huesca,11.4,28,15,18,8,2,19,33,57.6,14,12,2,10,23,51,36,0
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,2,3,3,3,0,0,2,2,100,0,0,0,0,1,4,5,0
9,Jordi Alba,es ESP,DF,Barcelona,33.2,42,22,20,15,7,20,48,41.7,28,24,6,18,60,102,76,1
10,Pedro Alcalá,es ESP,DF,Girona,20.8,32,23,23,9,0,15,23,65.2,8,21,18,3,36,68,120,0
11,Rubén Alcaraz,es ESP,MF,Valladolid,33.1,96,54,50,40,6,32,89,36,57,59,10,49,38,134,52,1
12,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,1.6,1,1,0,1,0,0,3,0,3,1,0,1,0,1,0,0
13,Iván Alejo,es ESP,MF,Getafe,1.6,2,0,0,2,0,0,4,0,4,2,0,2,0,2,3,0
14,Carles Aleñá,es ESP,MF,Barcelona,7.1,7,4,0,6,1,2,8,25,6,4,0,4,2,9,0,0
15,Alexander,ar ARG,FW,Leganés,0.1,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
16,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,6,13,9,8,4,1,7,12,58.3,5,8,3,5,5,18,24,1
17,Sergio Álvarez,es ESP,"DF,MF",Eibar,11.9,34,25,12,20,2,13,23,56.5,10,9,4,5,17,51,43,0
18,Sergio Álvarez,es ESP,GK,Celta Vigo,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
19,Yeray Álvarez,es ESP,DF,Athletic Club,29,55,30,39,14,2,19,33,57.6,14,35,16,19,63,118,149,1
20,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,8.5,27,20,9,15,3,2,9,22.2,7,7,4,3,11,38,24,0
21,Jordi Amat,es ESP,DF,Rayo Vallecano,30.7,54,31,34,19,1,24,42,57.1,18,31,10,21,43,97,133,1
22,Amath,sn SEN,MF,Getafe,11.1,20,13,7,11,2,6,27,22.2,21,17,0,17,10,30,12,0
23,José Ángel,es ESP,DF,Eibar,33.6,66,46,36,23,7,31,56,55.4,25,24,5,19,41,107,113,1
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,11,1,1,1,0,0,1,2,50,1,0,0,0,1,2,9,2
25,Antoñito,es ESP,"DF,MF",Valladolid,20.7,35,21,16,15,4,18,42,42.9,24,21,8,13,18,53,31,0
26,Vitorino Antunes,pt POR,"DF,MF",Getafe,24.2,41,26,22,17,2,27,45,60,18,33,7,26,43,84,75,1
27,Anuar,ma MAR,"MF,FW",Valladolid,12,33,19,15,16,2,6,14,42.9,8,14,1,13,11,44,25,1
28,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
29,Mauro Arambarri,uy URU,MF,Getafe,29.7,59,33,18,37,4,23,76,30.3,53,44,9,35,30,89,36,0
30,Guilherme Arana,br BRA,DF,Sevilla,7,11,6,5,5,1,6,7,85.7,1,6,3,3,9,20,8,0
31,Néstor Araujo,mx MEX,DF,Celta Vigo,29.8,42,22,32,9,1,18,22,81.8,4,32,21,11,35,77,153,1
32,Anaitz Arbilla,es ESP,DF,Eibar,21.7,31,24,25,5,1,17,27,63,10,12,5,7,46,77,92,2
33,Santiago Arias,co COL,DF,Atlético Madrid,19.7,48,32,31,16,1,20,31,64.5,11,14,2,12,34,82,43,0
34,José Arnaiz,es ESP,"MF,FW",Leganés,1.3,1,1,1,0,0,0,3,0,3,0,0,0,2,3,1,0
35,Sergio Asenjo,es ESP,GK,Villarreal,32,0,0,0,0,0,0,1,0,1,0,0,0,3,3,26,2
36,Marco Asensio,es ESP,FW,Real Madrid,19.8,12,8,3,5,4,2,24,8.3,22,16,1,15,14,26,7,0
37,Iago Aspas,es ESP,"FW,MF",Celta Vigo,25,16,11,4,8,4,4,20,20,16,14,0,14,16,32,5,0
38,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,22.2,18,10,7,7,4,4,26,15.4,22,21,2,19,13,31,22,0
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,23.4,46,33,37,8,1,29,39,74.4,10,32,18,14,29,75,165,4
40,Carlos Bacca,co COL,FW,Villarreal,14.1,4,2,1,2,1,0,5,0,5,4,0,4,8,12,5,0
41,Gareth Bale,wls WAL,FW,Real Madrid,19.8,16,8,5,7,4,6,20,30,14,19,3,16,11,27,13,0
42,Mikel Balenziaga,es ESP,DF,Athletic Club,5.8,10,6,7,1,2,5,8,62.5,3,6,2,4,2,12,21,0
43,Éver Banega,ar ARG,MF,Sevilla,29.6,71,50,32,35,4,20,70,28.6,50,26,5,21,28,99,28,0
44,Léo Baptistão,br BRA,"FW,MF",Espanyol,13.7,22,14,11,5,6,8,27,29.6,19,17,0,17,8,30,14,0
45,Enis Bardhi,mk MKD,MF,Levante,31.5,70,43,30,34,6,28,87,32.2,59,35,3,32,31,101,36,1
46,Antonio Barragán,es ESP,"DF,FW",Betis,10.4,14,8,9,4,1,2,12,16.7,10,15,4,11,5,19,30,2
47,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,4.4,7,2,2,0,5,2,8,25,6,8,0,8,4,11,1,0
48,Marc Bartra,es ESP,DF,Betis,32.5,86,55,55,26,5,41,76,53.9,35,46,21,25,60,146,132,2
49,Borja Bastón,es ESP,FW,Alavés,16,16,7,4,9,3,2,24,8.3,22,16,5,11,4,20,10,0
50,Michy Batshuayi,be BEL,FW,Valencia,5.9,1,1,0,1,0,0,3,0,3,5,2,3,0,1,3,0
51,Jon Bautista,es ESP,FW,Real Sociedad,6.6,5,3,0,3,2,0,3,0,3,8,1,7,5,10,4,0
52,Bebé,cv CPV,"FW,MF",Rayo Vallecano,14.5,19,9,10,4,5,9,19,47.4,10,16,1,15,9,28,16,1
53,Bebé,cv CPV,MF,Eibar,0.7,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
54,Fran Beltrán,es ESP,MF,Celta Vigo,16.9,23,17,8,12,3,13,31,41.9,18,19,2,17,19,42,15,1
55,Wissam Ben Yedder,fr FRA,FW,Sevilla,31.2,18,16,3,11,4,2,12,16.7,10,18,0,18,11,29,2,0
56,Karim Benzema,fr FRA,FW,Real Madrid,32.8,24,11,2,11,11,2,17,11.8,15,16,1,15,8,32,25,0
57,Yuri Berchiche,es ESP,"DF,FW",Athletic Club,34.7,46,31,26,11,9,23,46,50,23,34,9,25,42,88,82,0
58,Markel Bergara,es ESP,MF,Getafe,0.6,2,2,0,1,1,2,3,66.7,1,3,0,3,1,3,2,0
59,Pedro Bigas,es ESP,DF,Eibar,6.5,4,3,2,0,2,1,5,20,4,6,2,4,8,12,22,0
60,Alejandro Blanco,es ESP,"FW,MF",Alavés,0.2,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,0,0
61,Rubén Blanco,es ESP,GK,Celta Vigo,25,1,0,1,0,0,1,2,50,1,1,0,1,2,3,13,2
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,16.9,32,19,17,8,7,12,32,37.5,20,18,0,18,13,45,20,0
63,Emmanuel Boateng,gh GHA,FW,Levante,7.8,4,3,0,0,4,0,3,0,3,5,0,5,1,5,7,0
64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,2.7,3,2,0,1,2,0,1,0,1,1,0,1,1,4,4,0
65,Daniele Bonera,it ITA,DF,Villarreal,2.6,2,2,2,0,0,1,1,100,0,5,5,0,4,6,10,0
66,Ryad Boudebouz,dz ALG,"MF,FW",Celta Vigo,8,14,4,4,6,4,3,8,37.5,5,9,1,8,3,17,9,0
67,Ryad Boudebouz,dz ALG,"MF,FW",Betis,6,8,4,4,1,3,4,10,40,6,5,1,4,5,13,2,0
68,Sofiane Boufal,ma MAR,"MF,FW",Celta Vigo,23.2,35,21,18,11,6,15,47,31.9,32,24,0,24,10,45,12,0
69,Yassine Bounou,ma MAR,GK,Girona,31.8,0,0,0,0,0,0,2,0,2,0,0,0,1,1,7,2
70,Martin Braithwaite,dk DEN,FW,Leganés,15.6,5,3,0,0,5,0,4,0,4,9,0,9,3,8,4,0
71,Darko Brasanac,rs SRB,MF,Alavés,17.6,32,16,15,13,4,10,26,38.5,16,17,4,13,13,45,19,0
72,Rajko Brezancic,rs SRB,DF,Huesca,0.7,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
73,Bryan,es ESP,"MF,FW",Sevilla,1.9,6,4,4,1,1,1,5,20,4,0,0,0,1,7,0,0
74,Burgui,es ESP,"MF,FW",Alavés,6.2,6,6,4,2,0,1,3,33.3,2,4,0,4,0,6,2,1
75,Sergio Busquets,es ESP,MF,Barcelona,30.2,90,60,35,45,10,41,89,46.1,48,43,8,35,54,144,22,1
76,Unai Bustinza,es ESP,DF,Leganés,22.5,41,31,25,14,2,17,33,51.5,16,31,13,18,53,94,110,2
77,Erick Cabaco,uy URU,DF,Levante,18.1,22,13,19,3,0,12,29,41.4,17,29,14,15,29,51,69,0
78,Gustavo Cabral,ar ARG,DF,Celta Vigo,21.1,37,26,28,7,2,17,27,63,10,31,11,20,33,70,102,1
79,Leandro Cabrera,uy URU,DF,Getafe,31,47,26,28,17,2,24,41,58.5,17,29,16,13,52,99,216,2
80,Jordi Calavera,es ESP,DF,Eibar,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
81,Fernando Calero,es ESP,DF,Valladolid,34.8,51,31,33,18,0,23,38,60.5,15,55,31,24,55,106,170,0
82,Jonathan Calleri,ar ARG,FW,Alavés,31.9,20,13,3,11,6,1,24,4.2,23,34,7,27,7,27,53,0
83,Juanjo Camacho,es ESP,"MF,DF",Huesca,0.4,1,1,1,0,0,1,1,100,0,0,0,0,0,1,1,0
84,Sergio Camello,es ESP,FW,Atlético Madrid,0.5,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
85,José Campaña,es ESP,MF,Levante,35.7,65,45,31,29,5,27,86,31.4,59,51,7,44,48,113,46,1
86,Sergio Canales,es ESP,MF,Betis,29.5,44,30,19,18,7,11,53,20.8,42,34,3,31,9,53,8,1
87,Ander Capa,es ESP,"DF,FW",Athletic Club,18.2,43,27,32,8,3,13,27,48.1,14,20,2,18,30,73,47,0
88,Marc Cardona,es ESP,"FW,MF",Eibar,6.7,7,5,2,1,4,2,6,33.3,4,7,0,7,1,8,3,0
89,Daniel Carriço,pt POR,DF,Sevilla,23.7,35,18,23,11,1,12,20,60,8,19,12,7,31,66,104,1
90,Guido Carrillo,ar ARG,FW,Leganés,22.1,25,14,4,12,9,6,19,31.6,13,12,1,11,8,33,25,0
91,Dani Carvajal,es ESP,DF,Real Madrid,23.4,40,24,17,15,8,18,41,43.9,23,31,7,24,26,66,35,0
92,William Carvalho,pt POR,MF,Betis,26.5,45,27,20,21,4,16,29,55.2,13,8,0,8,12,57,30,0
93,Casemiro,br BRA,MF,Real Madrid,25.7,86,52,44,35,7,38,94,40.4,56,52,12,40,41,127,56,3
94,Santiago Cáseres,ar ARG,MF,Villarreal,17.6,67,35,20,38,9,25,57,43.9,32,22,9,13,14,81,24,1
95,Catena,es ESP,DF,Rayo Vallecano,2,4,4,3,1,0,2,2,100,0,4,2,2,8,12,8,0
96,Santi Cazorla,es ESP,"MF,FW",Villarreal,29.4,69,34,32,26,11,24,69,34.8,45,35,6,29,28,97,17,1
97,Dani Ceballos,es ESP,"MF,FW",Real Madrid,13.9,32,21,9,16,7,11,31,35.5,20,26,1,25,15,47,6,0
98,Charles,br BRA,FW,Eibar,19.3,7,5,1,3,3,2,13,15.4,11,14,1,13,4,11,14,0
99,Chechu,es ESP,DF,Rayo Vallecano,1,0,0,0,0,0,0,2,0,2,0,0,0,2,2,5,0
100,Chema,es ESP,DF,Levante,13.9,27,19,16,9,2,13,19,68.4,6,19,11,8,19,46,83,0
101,Denis Cheryshev,ru RUS,MF,Valencia,19,46,32,15,22,9,17,37,45.9,20,35,3,32,15,61,16,0
102,Leandro Chichizola,ar ARG,GK,Getafe,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
103,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,19,19,11,7,10,2,9,31,29,22,11,2,9,10,29,2,0
104,Jasper Cillessen,nl NED,GK,Barcelona,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2
105,Coke,es ESP,DF,Levante,20.2,44,27,24,17,3,26,56,46.4,30,18,8,10,40,84,54,1
106,Álex Collado,es ESP,FW,Barcelona,0.9,1,0,0,1,0,0,1,0,1,3,0,3,0,1,2,0
107,Santi Comesaña,es ESP,MF,Rayo Vallecano,22.6,56,35,29,25,2,22,61,36.1,39,30,5,25,30,86,45,2
108,Duje ?op,hr CRO,FW,Valladolid,7.6,5,4,1,2,2,0,8,0,8,8,3,5,3,8,3,0
109,Francis Coquelin,fr FRA,MF,Valencia,19.6,46,31,25,14,7,17,35,48.6,18,21,5,16,49,95,29,1
110,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,14.7,37,23,15,17,5,14,47,29.8,33,27,0,27,17,54,13,0
111,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,21.3,38,19,19,12,7,10,53,18.9,43,28,5,23,17,55,20,0
112,Diego Costa,es ESP,FW,Atlético Madrid,12.4,4,1,0,4,0,1,8,12.5,7,5,0,5,2,6,6,0
113,Jaume Costa,es ESP,DF,Villarreal,16.6,33,21,26,5,2,20,33,60.6,13,12,3,9,21,54,61,0
114,David Costas,es ESP,DF,Celta Vigo,13,25,13,21,4,0,10,15,66.7,5,12,6,6,18,43,58,1
115,Thibaut Courtois,be BEL,GK,Real Madrid,27,0,0,0,0,0,0,2,0,2,0,0,0,2,2,5,0
116,Philippe Coutinho,br BRA,"FW,MF",Barcelona,22.4,16,11,1,6,9,7,22,31.8,15,21,2,19,12,28,8,0
117,Sebastián Cristóforo,uy URU,MF,Getafe,5,15,8,4,8,3,5,14,35.7,9,13,0,13,8,23,5,0
118,Cucho,co COL,FW,Huesca,23.9,22,13,6,10,6,6,18,33.3,12,23,2,21,9,31,21,0
119,Marc Cucurella,es ESP,"MF,FW",Eibar,26.2,49,37,13,21,15,10,23,43.5,13,36,3,33,20,69,24,0
120,Iván Cuéllar,es ESP,GK,Leganés,33.9,0,0,0,0,0,0,1,0,1,0,0,0,2,2,10,0
121,Sergi Darder,es ESP,MF,Espanyol,30.1,60,35,23,32,5,25,69,36.2,44,18,3,15,22,82,30,0
122,Moisés Delgado,es ESP,DF,Valladolid,3,7,6,3,3,1,2,3,66.7,1,2,1,1,3,10,9,0
123,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,18.5,23,15,4,13,6,6,18,33.3,12,13,0,13,5,28,4,0
124,Franco Di Santo,ar ARG,FW,Rayo Vallecano,1.9,2,2,1,0,1,1,2,50,1,0,0,0,0,2,2,0
125,Mouctar Diakhaby,gn GUI,DF,Valencia,17.6,14,8,10,4,0,5,10,50,5,24,16,8,20,34,94,1
126,Brahim Díaz,es ESP,FW,Real Madrid,4.2,9,7,5,4,0,3,8,37.5,5,2,0,2,0,9,0,0
127,Javier Díaz,es ESP,GK,Sevilla,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
128,Adrián Diéguez,es ESP,DF,Huesca,8.3,16,10,11,4,1,9,16,56.3,7,9,4,5,12,28,46,1
129,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1
130,Papakouli Diop,sn SEN,MF,Eibar,26.1,66,40,14,44,8,14,34,41.2,20,21,1,20,37,103,27,0
131,Djené,tg TOG,DF,Getafe,33.1,54,34,43,11,0,26,43,60.5,17,27,11,16,74,128,154,3
132,Marko Dmitrovi?,rs SRB,GK,Eibar,24,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,3
133,Jaume Doménech,es ESP,GK,Valencia,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
134,Cheick Doukouré,ci CIV,MF,Levante,3.5,13,7,3,7,3,4,15,26.7,11,10,2,8,3,16,3,1
135,Seydou Doumbia,ci CIV,FW,Girona,6,5,1,1,2,2,0,2,0,2,2,0,2,3,8,1,0
136,Óscar Duarte,cr CRC,"DF,MF",Espanyol,7.3,12,5,7,5,0,4,7,57.1,3,7,7,0,13,25,34,0
137,Rubén Duarte,es ESP,DF,Alavés,30.8,72,35,45,20,7,34,64,53.1,30,46,12,34,57,129,130,1
138,Hugo Duro,es ESP,"MF,FW",Getafe,4.6,6,4,1,2,3,3,6,50,3,6,1,5,3,9,4,0
139,Raphael Dwamena,gh GHA,FW,Levante,2.5,0,0,0,0,0,0,0,,0,2,1,1,0,0,2,0
140,Dennis Eckert,de GER,FW,Celta Vigo,2.4,3,2,0,1,2,0,2,0,2,1,0,1,2,5,3,0
141,Aritz Elustondo,es ESP,DF,Real Sociedad,25,47,29,31,14,2,26,41,63.4,15,23,7,16,39,86,150,0
142,Gorka Elustondo,es ESP,"MF,DF",Rayo Vallecano,3.2,7,5,4,3,0,5,8,62.5,3,6,1,5,6,13,10,0
143,Rodrigo Ely,br BRA,DF,Alavés,4.8,8,5,5,3,0,5,7,71.4,2,9,7,2,7,15,30,0
144,Adri Embarba,es ESP,"MF,FW",Rayo Vallecano,25.4,54,26,20,24,10,22,61,36.1,39,38,2,36,29,83,22,0
145,Emerson,br BRA,"FW,DF",Betis,3.5,9,7,6,1,2,3,10,30,7,6,0,6,7,16,12,0
146,Youssef En-Nesyri,ma MAR,FW,Leganés,23.4,16,8,6,5,5,4,24,16.7,20,18,3,15,6,22,23,0
147,Sergi Enrich,es ESP,FW,Eibar,28.7,27,17,3,11,13,7,30,23.3,23,11,1,10,6,33,14,0
148,Javier Eraso,es ESP,"MF,FW",Leganés,7,6,3,3,2,1,0,6,0,6,3,1,2,7,13,4,0
149,Gonzalo Escalante,ar ARG,MF,Eibar,19.9,49,28,11,35,3,19,46,41.3,27,37,2,35,21,70,21,0
150,Sergio Escudero,es ESP,"DF,FW",Sevilla,17.2,43,29,20,18,5,18,35,51.4,17,22,4,18,24,67,52,0
151,Bernardo Espinosa,co COL,DF,Girona,30.3,20,14,16,4,0,8,17,47.1,9,46,31,15,40,60,197,5
152,Beñat Etxebarria,es ESP,MF,Athletic Club,22.6,47,24,14,25,8,19,59,32.2,40,18,1,17,24,71,11,0
153,Xabier Etxeita,es ESP,DF,Huesca,29.7,47,23,32,12,3,26,47,55.3,21,38,25,13,39,86,163,3
154,Zouhair Feddal,ma MAR,DF,Betis,18.9,38,23,31,6,1,16,28,57.1,12,19,8,11,31,69,94,2
155,Aitor Fernández,es ESP,GK,Levante,16,1,0,1,0,0,1,1,100,0,0,0,0,1,2,10,1
156,Andrés Fernández,es ESP,GK,Villarreal,6,1,0,1,0,0,1,1,100,0,0,0,0,0,1,4,1
157,Borja Fernández,es ESP,"MF,DF",Valladolid,9.3,17,12,7,9,1,6,16,37.5,10,14,2,12,14,31,25,0
158,Joaquín Fernández,es ESP,"DF,MF",Valladolid,9.3,16,9,14,1,1,8,16,50,8,9,7,2,17,33,45,0
159,David Ferreiro,es ESP,"MF,FW",Huesca,25.3,36,22,13,19,4,11,64,17.2,53,27,1,26,24,60,14,2
160,Facundo Ferreyra,ar ARG,FW,Espanyol,2.3,5,2,0,4,1,1,3,33.3,2,3,0,3,0,5,5,0
161,Junior Firpo,es ESP,"DF,FW",Betis,21.5,38,25,16,14,8,10,24,41.7,14,27,2,25,23,61,48,0
162,Mathieu Flamini,fr FRA,MF,Getafe,5,9,4,4,4,1,4,7,57.1,3,3,1,2,5,14,4,0
163,Pablo Fornals,es ESP,"MF,FW",Villarreal,27.5,49,26,14,26,9,15,54,27.8,39,32,4,28,24,73,19,0
164,Dimitri Foulquier,fr FRA,"MF,DF",Getafe,20,29,12,10,14,5,11,22,50,11,23,2,21,20,49,38,0
165,Javi Fuego,es ESP,MF,Villarreal,2.6,6,3,5,1,0,4,8,50,4,2,0,2,3,9,9,0
166,Ramiro Funes Mori,ar ARG,"DF,MF",Villarreal,29.2,41,29,30,9,2,19,44,43.2,25,36,24,12,42,83,149,2
167,Javi Galán,es ESP,"DF,FW",Huesca,16,61,39,36,23,2,34,59,57.6,25,22,1,21,19,80,52,1
168,Álex Gallar,es ESP,"MF,FW",Huesca,11.2,15,9,6,5,4,8,19,42.1,11,9,1,8,9,24,5,0
169,Enric Gallego,es ESP,FW,Huesca,17.1,21,15,3,13,5,3,19,15.8,16,17,2,15,8,29,32,0
170,Álex Gálvez,es ESP,DF,Rayo Vallecano,15.7,38,28,25,13,0,14,28,50,14,7,2,5,45,83,69,1
171,Kévin Gameiro,fr FRA,FW,Valencia,17.9,14,9,4,6,4,1,6,16.7,5,12,2,10,5,19,3,0
172,Cristian Ganea,ro ROU,DF,Athletic Club,0.5,0,0,0,0,0,0,3,0,3,1,0,1,1,1,2,0
173,Ezequiel Garay,ar ARG,DF,Valencia,23.7,20,17,15,3,2,9,18,50,9,30,23,7,16,36,140,0
174,Borja Garcés,es ESP,FW,Atlético Madrid,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
175,Alberto García,es ESP,GK,Rayo Vallecano,17,1,1,1,0,0,1,3,33.3,2,1,0,1,2,3,1,2
176,Aleix García,es ESP,MF,Girona,18.5,37,19,17,20,0,13,36,36.1,23,21,6,15,21,58,18,0
177,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,19.6,22,19,11,7,4,4,25,16,21,24,0,24,19,41,30,0
178,Borja García,es ESP,"MF,FW",Girona,29.2,39,27,17,15,7,22,44,50,22,23,2,21,38,77,17,0
179,Dani García,es ESP,MF,Athletic Club,27.5,56,34,21,32,3,24,63,38.1,39,28,8,20,49,105,46,1
