,,,,,,,Total,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
1,Aly Abeid,mr MTN,DF,Levante,0.9,29,38,76.3,474,167,17,19,89.5,10,12,83.3,2,5,40
2,Antonio Adán,es ESP,GK,Betis,30,868,1256,69.1,24352,18208,125,125,100,444,462,96.1,298,664,44.9
3,Aday,es ESP,DF,Girona,20.4,738,1047,70.5,12574,3756,386,450,85.8,261,350,74.6,77,188,41
4,Aritz Aduriz,es ESP,FW,Athletic Club,23.9,337,518,65.1,4422,934,218,296,73.6,86,143,60.1,12,30,40
5,Martin Agirregabiria,es ESP,DF,Alavés,20.3,634,884,71.7,9706,4749,366,436,83.9,207,288,71.9,47,104,45.2
6,Imanol Agirretxe,es ESP,FW,Real Sociedad,2.6,38,60,63.3,488,81,24,32,75,9,16,56.3,1,3,33.3
7,Matías Aguirregaray,uy URU,DF,Las Palmas,12.8,519,698,74.4,8233,3471,272,304,89.5,188,260,72.3,40,94,42.6
8,Ager Aketxe,es ESP,MF,Athletic Club,0.4,32,42,76.2,478,96,18,21,85.7,9,11,81.8,3,7,42.9
9,David Alba,es ESP,DF,Getafe,0.7,7,9,77.8,178,102,2,3,66.7,3,4,75,2,2,100
10,Jordi Alba,es ESP,DF,Barcelona,30.5,2074,2418,85.8,28727,8911,1320,1416,93.2,597,716,83.4,91,138,65.9
11,Raúl Albentosa,es ESP,DF,La Coruña,19.4,607,775,78.3,14038,5511,136,162,84,334,386,86.5,135,214,63.1
12,Paco Alcácer,es ESP,"MF,FW",Barcelona,7.7,188,234,80.3,2272,421,116,134,86.6,46,56,82.1,5,11,45.5
13,Pedro Alcalá,es ESP,DF,Girona,7.7,208,295,70.5,4905,1524,50,59,84.7,111,134,82.8,46,93,49.5
14,Steve Aldo One,cm CMR,DF,La Coruña,1,18,22,81.8,354,169,5,6,83.3,10,12,83.3,3,4,75
15,Álex Alegría,es ESP,FW,Levante,7,111,164,67.7,1333,166,73,99,73.7,33,44,75,0,3,0
16,Iván Alejo,es ESP,"MF,FW",Eibar,12.2,182,340,53.5,2848,887,111,151,73.5,54,99,54.5,15,52,28.8
17,Alexander,ar ARG,"MF,FW",Leganés,11.8,219,320,68.4,2917,931,141,172,82,47,80,58.8,14,29,48.3
18,Alexis,es ESP,DF,Alavés,24.3,544,743,73.2,10573,5123,205,237,86.5,249,334,74.6,79,146,54.1
19,José Alonso Lara,es ESP,MF,Sevilla,0.1,3,4,75,41,12,2,2,100,1,1,100,0,1,0
20,Sergio Álvarez,es ESP,GK,Celta Vigo,16.4,424,626,67.7,13411,10003,30,30,100,234,239,97.9,160,353,45.3
21,Yeray Álvarez,es ESP,DF,Athletic Club,7.5,385,468,82.3,8463,3214,101,119,84.9,207,229,90.4,74,111,66.7
22,Eloi Amagat,es ESP,MF,Girona,0.2,8,9,88.9,176,49,3,3,100,4,5,80,1,1,100
23,Jordi Amat,es ESP,"DF,MF",Betis,22.7,1444,1609,89.7,27991,7766,497,538,92.4,782,831,94.1,152,201,75.6
24,Amath,sn SEN,"MF,FW",Getafe,31.8,390,596,65.4,5819,1698,211,288,73.3,121,171,70.8,29,57,50.9
25,Nordin Amrabat,ma MAR,"FW,MF",Leganés,18,296,481,61.5,4395,981,173,215,80.5,95,151,62.9,16,49,32.7
26,Jon Ander Serantes,es ESP,GK,Leganés,1,12,33,36.4,637,598,0,0,,2,2,100,10,31,32.3
27,Florin Andone,ro ROU,FW,La Coruña,18.2,188,308,61,2226,245,130,176,73.9,43,75,57.3,1,10,10
28,Miguel Ángel Guerrero,es ESP,FW,Leganés,16,283,374,75.7,3755,473,181,227,79.7,78,101,77.2,10,13,76.9
29,José Ángel,es ESP,DF,Eibar,27,1003,1645,61,20949,9013,347,431,80.5,434,630,68.9,197,486,40.5
30,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,8.5,274,361,75.9,8727,6246,14,14,100,135,140,96.4,124,205,60.5
31,Miguel Ángel Rubio,es ESP,DF,Getafe,0.3,3,10,30,35,35,2,4,50,1,3,33.3,0,2,0
32,Vitorino Antunes,pt POR,DF,Getafe,31.1,862,1366,63.1,15837,8357,400,455,87.9,328,491,66.8,114,345,33
33,Alberto Aquilani,it ITA,MF,Las Palmas,14.4,838,1008,83.1,15742,4145,374,419,89.3,310,360,86.1,130,179,72.6
34,Mauro Arambarri,uy URU,MF,Getafe,23.6,435,629,69.2,9748,2631,147,191,77,162,217,74.7,115,178,64.6
35,Guilherme Arana,br BRA,DF,Sevilla,2.1,105,123,85.4,1310,461,81,86,94.2,19,25,76,2,7,28.6
36,Sergio Araujo,ar ARG,"MF,FW",Las Palmas,0.4,20,21,95.2,253,39,15,15,100,4,4,100,0,0,
37,Anaitz Arbilla,es ESP,DF,Eibar,26.8,1235,1559,79.2,29963,11576,334,383,87.2,561,638,87.9,331,499,66.3
38,José Arnaiz,es ESP,MF,Barcelona,0.1,3,4,75,46,0,2,2,100,1,2,50,0,0,
39,Alejandro Arribas,es ESP,DF,La Coruña,3,99,118,83.9,2115,689,24,26,92.3,61,63,96.8,13,28,46.4
40,Kepa Arrizabalaga,es ESP,GK,Athletic Club,30,700,1056,66.3,27639,23107,24,25,96,246,249,98.8,429,771,55.6
41,Aythami Artiles,es ESP,DF,Las Palmas,2,81,95,85.3,1763,583,23,26,88.5,48,54,88.9,10,15,66.7
42,Sergio Asenjo,es ESP,GK,Villarreal,23,406,657,61.8,13406,10604,50,50,100,163,168,97,191,434,44
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,20.5,1062,1264,84,15960,3701,627,676,92.8,322,378,85.2,77,130,59.2
44,Iago Aspas,es ESP,FW,Celta Vigo,32.6,992,1316,75.4,14982,3303,592,705,84,277,366,75.7,81,125,64.8
45,Carlos Bacca,co COL,FW,Villarreal,27.7,388,538,72.1,5649,1229,232,295,78.6,112,158,70.9,27,41,65.9
46,Cédric Bakambu,cd COD,FW,Villarreal,14,209,293,71.3,2837,684,125,152,82.2,54,84,64.3,11,17,64.7
47,Zakaria Bakkali,be BEL,"FW,MF",La Coruña,10.1,232,307,75.6,3284,692,145,164,88.4,66,93,71,14,29,48.3
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,20,603,779,77.4,9329,2213,360,408,88.2,162,210,77.1,56,89,62.9
49,Mikel Balenziaga,es ESP,DF,Athletic Club,17.2,599,791,75.7,9534,2681,304,340,89.4,239,315,75.9,35,85,41.2
50,Éver Banega,ar ARG,MF,Sevilla,26.7,1896,2309,82.1,35620,13307,784,865,90.6,811,923,87.9,260,421,61.8
51,Léo Baptistão,br BRA,"FW,MF",Espanyol,29.7,473,727,65.1,6165,1405,300,387,77.5,132,193,68.4,13,45,28.9
52,Mariano Barbosa,ar ARG,GK,Villarreal,12.5,225,335,67.2,6684,5193,35,35,100,106,106,100,84,194,43.3
53,Enis Bardhi,mk MKD,MF,Levante,17.6,520,683,76.1,9176,2631,252,295,85.4,183,220,83.2,63,118,53.4
54,Antonio Barragán,es ESP,DF,Betis,26.4,1293,1618,79.9,19836,7027,742,835,88.9,434,547,79.3,90,168,53.6
55,Barri,es ESP,"MF,FW",Getafe,1.3,10,16,62.5,202,88,5,7,71.4,3,3,100,2,3,66.7
56,Marc Bartra,es ESP,DF,Betis,15.8,939,1100,85.4,18744,6978,314,336,93.5,491,527,93.2,123,212,58
57,Borja Bastón,es ESP,FW,Málaga,10.9,171,236,72.5,2013,216,121,149,81.2,34,51,66.7,4,7,57.1
58,Jon Bautista,es ESP,"FW,MF",Real Sociedad,2,27,35,77.1,305,46,16,18,88.9,4,8,50,2,3,66.7
59,Paul Baysse,fr FRA,DF,Málaga,13.8,448,549,81.6,9290,3165,141,159,88.7,238,273,87.2,66,110,60
60,Claudio Beauvue,gp GLP,FW,Leganés,18.6,208,321,64.8,2650,449,125,172,72.7,55,84,65.5,7,22,31.8
61,Bebé,cv CPV,"MF,FW",Eibar,4.1,84,149,56.4,1390,280,41,52,78.8,27,50,54,10,29,34.5
62,Wissam Ben Yedder,fr FRA,FW,Sevilla,18.9,371,481,77.1,4592,832,242,283,85.5,93,126,73.8,11,22,50
63,Karim Benzema,fr FRA,FW,Real Madrid,23.9,723,881,82.1,9638,1967,473,541,87.4,159,194,82,46,54,85.2
64,Markel Bergara,es ESP,MF,Getafe,16.3,278,397,70,3817,1056,158,212,74.5,85,114,74.6,13,32,40.6
65,Pedro Bigas,es ESP,DF,Las Palmas,9.9,522,596,87.6,9370,3911,236,258,91.5,224,241,92.9,56,82,68.3
66,Rubén Blanco,es ESP,GK,Celta Vigo,21.6,507,819,61.9,16518,11954,22,22,100,277,281,98.6,208,507,41
67,Emmanuel Boateng,gh GHA,FW,Levante,14.2,143,228,62.7,1890,358,99,138,71.7,31,58,53.4,7,9,77.8
68,Daniele Bonera,it ITA,DF,Villarreal,13.2,493,569,86.6,10077,4150,174,186,93.5,235,254,92.5,79,119,66.4
69,Celso Borges,cr CRC,MF,La Coruña,25.6,952,1236,77,14993,4830,568,690,82.3,273,336,81.3,85,147,57.8
70,Ryad Boudebouz,dz ALG,"MF,FW",Betis,15.1,661,862,76.7,10048,2252,373,437,85.4,199,258,77.1,54,104,51.9
71,Yassine Bounou,ma MAR,GK,Girona,29.5,444,879,50.5,18205,15128,31,31,100,118,122,96.7,293,720,40.7
72,Eneko Bóveda,es ESP,DF,La Coruña,7.4,212,284,74.6,4237,1318,71,90,78.9,98,121,81,36,54,66.7
73,Eneko Bóveda,es ESP,DF,Athletic Club,5.8,203,293,69.3,3153,1225,121,142,85.2,63,101,62.4,15,39,38.5
74,Lucas Boyé,ar ARG,"FW,MF",Celta Vigo,3.1,79,128,61.7,961,269,60,76,78.9,14,31,45.2,2,6,33.3
75,Darko Brasanac,rs SRB,"MF,FW",Leganés,13.4,331,419,79,4891,1437,201,225,89.3,98,126,77.8,21,38,55.3
76,Alberto Bueno,es ESP,"MF,FW",Málaga,2.5,78,98,79.6,1368,299,38,43,88.4,30,37,81.1,8,13,61.5
77,Burgui,es ESP,"MF,FW",Alavés,11.5,271,365,74.2,4218,1500,149,183,81.4,91,122,74.6,22,34,64.7
78,Sergio Busquets,es ESP,MF,Barcelona,28.8,2031,2249,90.3,35903,11788,848,929,91.3,869,933,93.1,230,266,86.5
79,Unai Bustinza,es ESP,DF,Leganés,18.2,540,691,78.1,10452,4246,234,257,91.1,218,268,81.3,81,140,57.9
80,Erick Cabaco,uy URU,DF,Levante,11.6,232,324,71.6,4950,2263,71,82,86.6,123,144,85.4,34,87,39.1
81,Gustavo Cabral,ar ARG,DF,Celta Vigo,21,1134,1283,88.4,23771,7264,289,315,91.7,662,700,94.6,169,241,70.1
82,Leandro Cabrera,uy URU,DF,Getafe,8,151,297,50.8,3269,1970,55,72,76.4,60,105,57.1,34,105,32.4
83,Cala,es ESP,DF,Getafe,20,414,655,63.2,11752,4979,76,100,76,168,243,69.1,163,297,54.9
84,Carlos Calderón,es ESP,MF,Getafe,0,2,2,100,7,0,1,1,100,0,0,,0,0,
85,Jonathan Calleri,ar ARG,FW,Las Palmas,34.5,464,748,62,6581,1358,259,371,69.8,127,207,61.4,31,73,42.5
86,Víctor Camarasa,es ESP,MF,Betis,13.9,549,637,86.2,9190,1737,271,304,89.1,209,228,91.7,51,65,78.5
87,José Campaña,es ESP,MF,Levante,30.4,1352,1693,79.9,23878,7903,643,734,87.6,512,606,84.5,158,259,61
88,Joel Campbell,cr CRC,"MF,FW",Betis,2.4,80,94,85.1,1151,326,52,55,94.5,21,26,80.8,5,10,50
89,Sergio Canales,es ESP,"MF,FW",Real Sociedad,21.4,1050,1334,78.7,17549,4451,545,597,91.3,333,412,80.8,129,235,54.9
90,João Cancelo,pt POR,MF,Valencia,1,28,47,59.6,397,146,20,28,71.4,4,9,44.4,3,5,60
91,Ander Capa,es ESP,DF,Eibar,25,1062,1492,71.2,18906,7913,513,604,84.9,408,543,75.1,123,251,49
92,Lionel Carole,fr FRA,DF,Sevilla,6,294,360,81.7,4718,1744,156,174,89.7,118,137,86.1,19,38,50
93,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,10,247,333,74.2,3236,760,154,181,85.1,70,92,76.1,7,24,29.2
94,Daniel Carriço,pt POR,DF,Sevilla,5.1,214,249,85.9,4265,1725,78,84,92.9,103,115,89.6,31,45,68.9
95,Federico Cartabia,ar ARG,"FW,MF",La Coruña,14.7,451,596,75.7,7541,1892,235,280,83.9,161,205,78.5,42,73,57.5
96,Dani Carvajal,es ESP,DF,Real Madrid,24.7,1595,1898,84,25751,7152,888,982,90.4,538,627,85.8,132,201,65.7
97,Casemiro,br BRA,MF,Real Madrid,28.8,1545,1762,87.7,28541,7972,701,759,92.4,595,666,89.3,209,260,80.4
98,Kiko Casilla,es ESP,GK,Real Madrid,10,211,268,78.7,5988,4170,23,23,100,112,115,97.4,75,128,58.6
99,Dani Castellano,es ESP,DF,Las Palmas,22.5,831,1079,77,12247,4997,474,537,88.3,291,385,75.6,38,89,42.7
100,Javi Castellano,es ESP,MF,Las Palmas,17.4,971,1085,89.5,15593,4530,520,568,91.5,355,380,93.4,74,93,79.6
101,Samu Castillejo,es ESP,"MF,FW",Villarreal,23,763,996,76.6,13006,3437,380,434,87.6,277,338,82,81,156,51.9
102,Chory Castro,uy URU,"MF,FW",Málaga,22.9,672,1013,66.3,11487,3929,368,438,84,187,294,63.6,88,187,47.1
103,Jonny Castro,es ESP,DF,Celta Vigo,35.6,1744,2114,82.5,28020,9276,933,1032,90.4,653,788,82.9,128,199,64.3
104,Rubén Castro,es ESP,FW,Betis,4,49,59,83.1,694,132,26,29,89.7,13,14,92.9,4,5,80
105,Dani Ceballos,es ESP,MF,Real Madrid,4.5,353,380,92.9,5443,1219,195,205,95.1,102,107,95.3,36,42,85.7
106,Emanuel Cecchini,ar ARG,"MF,DF",Málaga,0.3,13,16,81.3,183,52,11,11,100,0,0,,2,2,100
107,Nereo Champagne,ar ARG,GK,Leganés,2,32,58,55.2,1424,1356,1,1,100,5,5,100,26,51,51
108,Charles,br BRA,FW,Eibar,17.6,286,424,67.5,3687,672,182,257,70.8,66,103,64.1,11,14,78.6
109,Chema,es ESP,DF,Levante,22.4,535,693,77.2,11905,4783,143,160,89.4,273,309,88.3,111,209,53.1
110,Denis Cheryshev,ru RUS,"MF,FW",Villarreal,10.3,224,334,67.1,3582,1127,120,149,80.5,83,126,65.9,15,32,46.9
111,Leandro Chichizola,ar ARG,GK,Las Palmas,27,807,1142,70.7,23394,17015,125,127,98.4,386,394,98,295,614,48
112,Chuca,es ESP,MF,Villarreal,1,35,54,64.8,656,126,18,24,75,10,16,62.5,6,12,50
113,Cifu,es ESP,DF,Málaga,1.2,65,85,76.5,902,372,43,49,87.8,18,23,78.3,3,6,50
114,Jasper Cillessen,nl NED,GK,Barcelona,1,25,31,80.6,605,333,4,4,100,14,14,100,7,13,53.8
115,Coke,es ESP,DF,Levante,15.4,543,748,72.6,8503,3983,306,352,86.9,181,251,72.1,44,96,45.8
116,Emre Çolak,tr TUR,MF,La Coruña,16.1,683,881,77.5,11741,3873,357,407,87.7,209,256,81.6,91,160,56.9
117,Francis Coquelin,fr FRA,"MF,DF",Valencia,7.3,256,310,82.6,4423,1406,126,140,90,91,109,83.5,29,41,70.7
118,Sébastien Corchia,fr FRA,DF,Sevilla,9.1,305,397,76.8,4441,1789,191,212,90.1,91,134,67.9,15,36,41.7
119,Iñigo Córdoba,es ESP,FW,Athletic Club,16.2,348,540,64.4,5509,1591,190,244,77.9,112,163,68.7,33,75,44
120,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,25,633,891,71,8092,2206,411,499,82.4,148,212,69.8,27,63,42.9
121,Joaquín Correa,ar ARG,FW,Sevilla,13.3,397,486,81.7,5850,1469,234,266,88,112,136,82.4,28,32,87.5
122,Diego Costa,es ESP,FW,Atlético Madrid,11.6,237,316,75,2810,422,157,193,81.3,44,55,80,8,13,61.5
123,Jaume Costa,es ESP,DF,Villarreal,28.2,1262,1583,79.7,20465,8097,673,745,90.3,476,596,79.9,97,185,52.4
124,Philippe Coutinho,br BRA,"MF,FW",Barcelona,14.4,728,877,83,9986,2461,429,470,91.3,192,224,85.7,44,83,53
125,Juan Cruz,es ESP,FW,Málaga,0.1,3,3,100,25,9,2,2,100,0,0,,0,0,
126,Iván Cuéllar,es ESP,GK,Leganés,35,503,1126,44.7,22645,20524,21,21,100,122,126,96.8,360,967,37.2
127,Sergi Darder,es ESP,MF,Espanyol,30.9,1213,1506,80.5,21560,7140,574,646,88.9,448,539,83.1,154,235,65.5
128,Salem Al-Dawsari,sa KSA,MF,Villarreal,0.4,15,17,88.2,221,36,10,10,100,4,5,80,1,1,100
129,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,10.3,391,505,77.4,5835,1462,227,262,86.6,111,145,76.6,33,46,71.7
130,Ermedin Demirovi?,ba BIH,FW,Alavés,2,16,29,55.2,183,21,14,20,70,0,2,0,1,3,33.3
131,Gerard Deulofeu,es ESP,"MF,FW",Barcelona,5.6,230,294,78.2,3290,493,138,158,87.3,57,73,78.1,18,31,58.1
132,Adrián Diéguez,es ESP,DF,Alavés,4.8,131,168,78,2548,1275,67,76,88.2,40,54,74.1,22,33,66.7
133,Lucas Digne,fr FRA,DF,Barcelona,7.8,489,564,86.7,7218,2095,281,311,90.4,163,180,90.6,33,44,75
134,Papakouli Diop,sn SEN,MF,Espanyol,2.9,63,80,78.8,1074,300,27,32,84.4,28,33,84.8,5,10,50
135,Papakouli Diop,sn SEN,MF,Eibar,10.4,340,449,75.7,6280,1795,130,162,80.2,158,192,82.3,43,74,58.1
136,Djené,tg TOG,DF,Getafe,36,688,992,69.4,14078,6010,225,269,83.6,346,443,78.1,107,240,44.6
137,Marko Dmitrovi?,rs SRB,GK,Eibar,36,580,1163,49.9,26463,23666,46,47,97.9,134,136,98.5,399,974,41
138,Jaume Doménech,es ESP,GK,Valencia,5,105,140,75,2815,2252,26,26,100,45,47,95.7,32,65,49.2
139,Mauro dos Santos,ar ARG,DF,Leganés,10.9,235,311,75.6,4951,1828,85,99,85.9,103,130,79.2,45,74,60.8
140,Cheick Doukouré,ci CIV,MF,Levante,11.4,261,320,81.6,4171,1119,139,166,83.7,92,107,86,23,28,82.1
141,Óscar Duarte,cr CRC,DF,Espanyol,11,380,483,78.7,7877,3146,117,131,89.3,193,218,88.5,65,125,52
142,Rubén Duarte,es ESP,DF,Alavés,23.8,670,968,69.2,10762,5135,371,441,84.1,221,327,67.6,59,154,38.3
143,Riza Durmisi,dk DEN,DF,Betis,23.1,856,1069,80.1,12924,3616,487,518,94,311,394,78.9,39,103,37.9
144,Hugo Duro,es ESP,FW,Getafe,0.2,6,6,100,67,13,4,4,100,2,2,100,0,0,
145,Aritz Elustondo,es ESP,DF,Real Sociedad,17.7,870,1028,84.6,16254,5747,319,357,89.4,464,514,90.3,77,133,57.9
146,Rodrigo Ely,br BRA,DF,Alavés,29.9,753,1040,72.4,16921,6731,199,250,79.6,396,475,83.4,152,292,52.1
147,Youssef En-Nesyri,ma MAR,FW,Málaga,17.7,190,342,55.6,2524,500,119,179,66.5,43,87,49.4,11,26,42.3
148,Sergi Enrich,es ESP,FW,Eibar,14.8,289,430,67.2,3759,478,194,275,70.5,58,86,67.4,16,25,64
149,Javier Eraso,es ESP,"MF,FW",Leganés,28.1,623,875,71.2,9010,2312,386,461,83.7,162,239,67.8,47,104,45.2
150,Gonzalo Escalante,ar ARG,MF,Eibar,17.4,490,674,72.7,7937,1894,236,308,76.6,201,244,82.4,34,76,44.7
151,Sergio Escudero,es ESP,DF,Sevilla,25.9,1303,1651,78.9,20152,8064,724,810,89.4,430,557,77.2,94,179,52.5
152,Bernardo Espinosa,co COL,DF,Girona,31.9,960,1177,81.6,22797,9392,212,240,88.3,516,585,88.2,225,332,67.8
153,Oghenekaro Etebo,ng NGA,MF,Las Palmas,13.5,540,639,84.5,9926,2388,226,255,88.6,231,254,90.9,67,94,71.3
154,Beñat Etxebarria,es ESP,MF,Athletic Club,12.4,642,817,78.6,12632,3737,252,284,88.7,275,328,83.8,107,176,60.8
155,Xabier Etxeita,es ESP,DF,Athletic Club,4.2,136,161,84.5,3024,1198,33,36,91.7,76,84,90.5,25,34,73.5
156,Edu Expósito,es ESP,"MF,FW",La Coruña,1.1,45,52,86.5,766,174,21,24,87.5,19,20,95,4,5,80
157,Erik Expósito,es ESP,FW,Las Palmas,5.2,58,95,61.1,682,181,41,59,69.5,8,18,44.4,3,4,75
158,Imoh Ezekiel,ng NGA,"MF,FW",Las Palmas,5.2,94,123,76.4,1214,206,65,74,87.8,24,29,82.8,2,8,25
159,Fayçal Fajr,ma MAR,"MF,FW",Getafe,26.5,738,1068,69.1,16475,4556,275,343,80.2,234,324,72.2,200,327,61.2
160,Zouhair Feddal,ma MAR,DF,Betis,14,668,825,81,14299,4829,218,240,90.8,314,353,89,128,211,60.7
161,Andrés Fernández,es ESP,GK,Villarreal,2.5,44,70,62.9,1253,944,8,8,100,24,24,100,12,37,32.4
162,Augusto Fernández,ar ARG,MF,Atlético Madrid,1.2,58,73,79.5,1006,288,25,27,92.6,25,27,92.6,6,14,42.9
163,Carlos Fernández,es ESP,FW,Sevilla,1.5,28,36,77.8,358,17,18,23,78.3,7,9,77.8,2,2,100
165,Raúl Fernández,es ESP,GK,Levante,11,174,325,53.5,8144,7283,3,3,100,39,40,97.5,132,279,47.3
166,Junior Firpo,es ESP,DF,Betis,13.2,539,652,82.7,8642,2339,282,320,88.1,219,259,84.6,32,49,65.3
167,Mathieu Flamini,fr FRA,MF,Getafe,5.3,98,148,66.2,1512,425,42,56,75,41,58,70.7,6,15,40
168,Andreu Fontàs,es ESP,DF,Celta Vigo,9.8,642,729,88.1,13546,4804,182,192,94.8,359,387,92.8,98,143,68.5
169,Pablo Fornals,es ESP,"MF,FW",Villarreal,29.1,1047,1373,76.3,17421,4819,544,646,84.2,363,458,79.3,110,170,64.7
170,Javi Fuego,es ESP,MF,Villarreal,6,261,334,78.1,4185,1485,136,158,86.1,94,116,81,24,36,66.7
171,Javi Fuego,es ESP,MF,Espanyol,14.9,492,625,78.7,7744,2367,253,301,84.1,181,219,82.6,37,62,59.7
172,Gabi,es ESP,MF,Atlético Madrid,26.1,1484,1779,83.4,26186,9736,715,773,92.5,500,598,83.6,210,305,68.9
173,Gabriel,br BRA,MF,Leganés,26.4,792,1196,66.2,12967,4550,440,608,72.4,228,319,71.5,90,165,54.5
174,Nicolás Gaitán,ar ARG,"MF,FW",Atlético Madrid,2.4,75,104,72.1,1041,382,47,56,83.9,17,25,68,4,11,36.4
175,Álex Gálvez,es ESP,DF,Las Palmas,18,770,952,80.9,15922,6401,263,291,90.4,368,421,87.4,127,213,59.6
176,Álex Gálvez,es ESP,DF,Eibar,4,161,208,77.4,3498,1577,58,66,87.9,63,74,85.1,39,65,60
177,Bruno Gama,pt POR,"FW,MF",La Coruña,1.3,31,42,73.8,364,98,23,27,85.2,7,9,77.8,0,3,0
178,Kévin Gameiro,fr FRA,FW,Atlético Madrid,12.5,182,234,77.8,2193,336,119,146,81.5,42,54,77.8,4,5,80
179,Ganso,br BRA,MF,Sevilla,5.8,287,353,81.3,3972,1079,175,203,86.2,85,98,86.7,10,20,50
180,Ezequiel Garay,ar ARG,DF,Valencia,22.5,939,1098,85.5,19128,6718,280,309,90.6,544,591,92,107,179,59.8
181,Aleix García,es ESP,MF,Girona,9.5,459,571,80.4,9256,2586,201,229,87.8,152,175,86.9,94,142,66.2
182,Borja García,es ESP,MF,Girona,31.1,1162,1427,81.4,19654,5026,636,713,89.2,336,410,82,158,227,69.6
183,Dani García,es ESP,MF,Eibar,30.8,1312,1636,80.2,27131,6341,472,561,84.1,577,691,83.5,248,335,74
184,David García,es ESP,DF,Las Palmas,9.6,383,477,80.3,7203,3089,153,165,92.7,179,208,86.1,47,95,49.5
185,Javi García,es ESP,"MF,DF",Betis,26.8,1540,1677,91.8,28012,7307,585,629,93,813,860,94.5,124,156,79.5
186,Manu García,es ESP,MF,Alavés,27.1,731,1013,72.2,12294,3713,357,432,82.6,272,360,75.6,75,141,53.2
187,Raúl García,es ESP,"MF,FW",Athletic Club,29.2,498,901,55.3,7630,2785,279,426,65.5,158,271,58.3,39,102,38.2
188,Raúl García,es ESP,DF,Leganés,15.5,455,682,66.7,7447,3703,255,293,87,142,204,69.6,49,144,34
189,Samu García,es ESP,MF,Málaga,2,29,48,60.4,350,88,19,27,70.4,8,12,66.7,0,4,0
190,Samu García,es ESP,"FW,MF",Levante,2.1,40,70,57.1,490,111,28,40,70,7,13,53.8,2,2,100
191,Sergio García,es ESP,"FW,MF",Espanyol,18.2,323,455,71,4868,1450,184,228,80.7,91,127,71.7,27,45,60
