,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1,1,90,1,0,0,0,0,0,1,0
2,Aday,es ESP,"DF,MF",Girona,30,1987,10,8,645,7.2,0,2,0,0,0,2,0
3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,20,10,943,10.5,2,0,0,2,2,5,0
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,28,27,"2,389",26.5,1,3,1,0,0,6,2
5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,27,23,"2,032",22.6,0,0,0,0,0,4,0
6,Juan Aguilera,es ESP,MF,Huesca,32,1985,6,4,344,3.8,0,0,0,0,0,1,0
7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,13,12,"1,023",11.4,0,0,0,0,0,2,0
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,2,180,2,0,1,0,0,0,0,0
9,Jordi Alba,es ESP,DF,Barcelona,29,1989,36,32,"2,991",33.2,2,8,2,0,0,6,0
10,Pedro Alcalá,es ESP,DF,Girona,29,1989,25,20,"1,868",20.8,1,1,1,0,0,9,0
11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,34,34,"2,976",33.1,3,2,3,0,1,13,0
12,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,25,1992,9,0,140,1.6,0,0,0,0,0,0,0
13,Iván Alejo,es ESP,"MF,FW",Getafe,23,1995,4,2,146,1.6,0,0,0,0,0,2,1
14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,17,6,637,7.1,2,0,2,0,0,2,0
15,Alexander,ar ARG,DF,Leganés,29,1988,1,0,10,0.1,0,0,0,0,0,0,0
16,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,25,1993,9,6,536,6,0,0,0,0,0,2,0
17,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13,13,"1,170",13,0,0,0,0,0,1,0
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,26,1992,19,12,"1,069",11.9,0,0,0,0,0,1,0
19,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,30,30,"2,613",29,0,0,0,0,0,10,0
20,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,25,1993,17,7,762,8.5,0,0,0,0,0,2,0
21,Jordi Amat,es ESP,DF,Rayo Vallecano,26,1992,31,31,"2,763",30.7,0,0,0,0,0,9,0
22,Amath,sn SEN,"MF,FW",Getafe,22,1996,15,13,"1,002",11.1,1,2,1,0,0,4,0
23,José Ángel,es ESP,DF,Eibar,28,1989,35,34,"3,028",33.6,1,1,1,0,0,10,0
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11,11,990,11,0,0,0,0,0,1,0
25,Antoñito,es ESP,"DF,MF",Valladolid,30,1987,30,18,"1,863",20.7,2,1,2,0,0,5,0
26,Vitorino Antunes,pt POR,DF,Getafe,31,1987,28,25,"2,181",24.2,1,3,1,0,0,5,0
27,Anuar,ma MAR,MF,Valladolid,23,1995,19,12,"1,081",12,1,0,1,0,0,6,0
28,Emmanuel Apeh,ng NGA,MF,Celta Vigo,21,1996,2,0,14,0.2,0,0,0,0,0,0,0
29,Mauro Arambarri,uy URU,MF,Getafe,22,1995,33,32,"2,676",29.7,1,2,1,0,0,8,0
30,Guilherme Arana,br BRA,"MF,DF",Sevilla,21,1997,9,8,629,7,0,0,0,0,0,3,0
31,Néstor Araujo,mx MEX,DF,Celta Vigo,26,1991,32,30,"2,682",29.8,3,0,3,0,0,3,1
32,Anaitz Arbilla,es ESP,DF,Eibar,31,1987,25,22,"1,950",21.7,1,2,1,0,0,6,1
33,Santiago Arias,co COL,DF,Atlético Madrid,26,1992,25,20,"1,772",19.7,1,1,1,0,0,4,0
34,José Arnaiz,es ESP,"DF,MF",Leganés,23,1995,6,0,113,1.3,0,0,0,0,0,0,0
35,Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32,32,"2,880",32,0,0,0,0,0,0,0
36,Marco Asensio,es ESP,FW,Real Madrid,22,1996,30,19,"1,779",19.8,1,4,1,0,0,3,0
37,Iago Aspas,es ESP,FW,Celta Vigo,30,1987,27,26,"2,251",25,20,6,15,5,5,5,0
38,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,24,1994,34,20,"1,997",22.2,10,2,9,1,1,12,1
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,27,1991,26,25,"2,110",23.4,1,0,1,0,0,4,2
40,Carlos Bacca,co COL,FW,Villarreal,31,1986,33,12,"1,270",14.1,6,1,5,1,1,3,0
41,Gareth Bale,wls WAL,FW,Real Madrid,29,1989,29,21,"1,786",19.8,8,3,7,1,1,4,0
42,Mikel Balenziaga,es ESP,DF,Athletic Club,30,1988,11,6,523,5.8,0,0,0,0,0,0,0
43,Éver Banega,ar ARG,MF,Sevilla,30,1988,32,32,"2,667",29.6,3,5,1,2,2,17,2
44,Léo Baptistão,br BRA,"FW,MF",Espanyol,25,1992,20,14,"1,233",13.7,2,2,1,1,1,3,0
45,Enis Bardhi,mk MKD,MF,Levante,23,1995,36,31,"2,836",31.5,3,4,3,0,0,6,0
46,Antonio Barragán,es ESP,"DF,MF",Betis,31,1987,14,12,934,10.4,0,0,0,0,0,4,0
47,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,16,2001,9,5,399,4.4,1,0,1,0,0,0,0
48,Marc Bartra,es ESP,DF,Betis,27,1991,33,33,"2,928",32.5,1,0,1,0,0,4,0
49,Borja Bastón,es ESP,FW,Alavés,25,1992,27,18,"1,439",16,5,1,5,0,0,4,0
50,Michy Batshuayi,be BEL,FW,Valencia,24,1993,15,4,527,5.9,1,0,1,0,0,3,0
51,Jon Bautista,es ESP,"FW,MF",Real Sociedad,23,1995,18,4,597,6.6,1,0,1,0,0,1,0
52,Bebé,cv CPV,"FW,MF",Rayo Vallecano,28,1990,27,13,"1,302",14.5,1,1,1,0,0,6,0
53,Bebé,cv CPV,MF,Eibar,28,1990,2,1,62,0.7,0,0,0,0,0,0,0
54,Fran Beltrán,es ESP,MF,Celta Vigo,19,1999,30,16,"1,517",16.9,1,0,1,0,0,3,0
55,Wissam Ben Yedder,fr FRA,FW,Sevilla,27,1990,35,31,"2,812",31.2,18,9,16,2,2,3,0
56,Karim Benzema,fr FRA,FW,Real Madrid,30,1987,36,35,"2,953",32.8,21,6,18,3,3,1,0
57,Yuri Berchiche,es ESP,"DF,FW",Athletic Club,28,1990,35,35,"3,120",34.7,2,2,2,0,0,8,0
58,Markel Bergara,es ESP,MF,Getafe,32,1986,3,0,53,0.6,0,0,0,0,0,0,0
59,Pedro Bigas,es ESP,DF,Eibar,27,1990,10,7,585,6.5,0,1,0,0,0,1,0
60,Alejandro Blanco,es ESP,"FW,MF",Alavés,19,1998,2,0,16,0.2,0,0,0,0,0,0,0
61,Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25,25,"2,250",25,0,0,0,0,0,2,0
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,30,1988,24,16,"1,520",16.9,2,0,2,0,0,2,1
63,Emmanuel Boateng,gh GHA,FW,Levante,22,1996,16,7,699,7.8,1,0,1,0,0,2,0
64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,31,1987,3,3,239,2.7,0,0,0,0,0,1,0
65,Daniele Bonera,it ITA,DF,Villarreal,37,1981,5,4,230,2.6,0,0,0,0,0,1,0
66,Ryad Boudebouz,dz ALG,MF,Celta Vigo,28,1990,11,8,717,8,1,2,1,0,0,2,1
67,Ryad Boudebouz,dz ALG,"MF,FW",Betis,28,1990,9,6,539,6,0,0,0,0,0,1,0
68,Sofiane Boufal,ma MAR,"MF,FW",Celta Vigo,24,1993,35,25,"2,085",23.2,3,3,3,0,0,6,0
69,Yassine Bounou,ma MAR,GK,Girona,27,1991,32,32,"2,861",31.8,0,0,0,0,0,2,0
70,Martin Braithwaite,dk DEN,FW,Leganés,27,1991,19,16,"1,402",15.6,4,5,4,0,0,5,0
71,Darko Brasanac,rs SRB,MF,Alavés,26,1992,24,17,"1,580",17.6,0,1,0,0,0,5,0
72,Rajko Brezancic,rs SRB,DF,Huesca,28,1989,1,0,67,0.7,0,0,0,0,0,0,0
73,Bryan,es ESP,"MF,FW",Sevilla,17,2001,11,0,167,1.9,1,1,1,0,0,0,0
74,Burgui,es ESP,"MF,FW",Alavés,24,1993,16,5,555,6.2,1,0,1,0,0,1,0
75,Sergio Busquets,es ESP,MF,Barcelona,30,1988,35,30,"2,715",30.2,0,1,0,0,0,10,0
76,Unai Bustinza,es ESP,DF,Leganés,26,1992,25,24,"2,023",22.5,0,1,0,0,0,11,1
77,Erick Cabaco,uy URU,DF,Levante,23,1995,21,20,"1,632",18.1,2,0,2,0,0,11,2
78,Gustavo Cabral,ar ARG,DF,Celta Vigo,32,1985,24,21,"1,897",21.1,0,0,0,0,0,6,2
79,Leandro Cabrera,uy URU,DF,Getafe,27,1991,32,31,"2,794",31,2,0,2,0,0,11,1
80,Jordi Calavera,es ESP,DF,Eibar,22,1995,1,0,1,0,0,0,0,0,0,0,0
81,Fernando Calero,es ESP,DF,Valladolid,22,1995,36,35,"3,130",34.8,1,0,1,0,0,7,0
82,Jonathan Calleri,ar ARG,FW,Alavés,24,1993,34,33,"2,869",31.9,9,2,7,2,2,6,0
83,Juanjo Camacho,es ESP,MF,Huesca,37,1980,3,0,37,0.4,0,0,0,0,0,0,0
84,Sergio Camello,es ESP,FW,Atlético Madrid,17,2001,1,0,45,0.5,1,0,1,0,0,0,0
85,José Campaña,es ESP,MF,Levante,25,1993,36,36,"3,210",35.7,4,9,4,0,0,11,0
86,Sergio Canales,es ESP,"MF,FW",Betis,27,1991,32,30,"2,655",29.5,7,2,5,2,2,5,0
87,Ander Capa,es ESP,DF,Athletic Club,26,1992,25,17,"1,642",18.2,0,0,0,0,0,9,0
88,Marc Cardona,es ESP,"FW,MF",Eibar,23,1995,17,6,604,6.7,3,1,3,0,0,1,0
89,Daniel Carriço,pt POR,DF,Sevilla,29,1988,24,24,"2,130",23.7,1,1,1,0,0,10,0
90,Guido Carrillo,ar ARG,FW,Leganés,27,1991,32,23,"1,992",22.1,6,1,5,1,3,5,0
91,Dani Carvajal,es ESP,DF,Real Madrid,26,1992,24,23,"2,107",23.4,1,2,1,0,0,10,0
92,William Carvalho,pt POR,MF,Betis,26,1992,30,26,"2,385",26.5,0,5,0,0,0,7,0
93,Casemiro,br BRA,MF,Real Madrid,26,1992,29,27,"2,312",25.7,3,0,3,0,0,7,1
94,Santiago Cáseres,ar ARG,MF,Villarreal,21,1997,23,17,"1,588",17.6,0,1,0,0,0,10,0
95,Catena,es ESP,DF,Rayo Vallecano,23,1994,2,2,176,2,0,0,0,0,0,1,0
96,Santi Cazorla,es ESP,"MF,FW",Villarreal,33,1984,35,30,"2,647",29.4,4,10,2,2,3,2,0
97,Dani Ceballos,es ESP,"MF,FW",Real Madrid,21,1996,23,13,"1,248",13.9,3,0,3,0,0,3,0
98,Charles,br BRA,FW,Eibar,34,1984,34,17,"1,739",19.3,14,1,8,6,7,4,0
99,Chechu,es ESP,DF,Rayo Vallecano,36,1982,1,1,90,1,0,0,0,0,0,0,0
100,Chema,es ESP,DF,Levante,26,1992,19,13,"1,254",13.9,2,0,2,0,0,7,0
101,Denis Cheryshev,ru RUS,"MF,FW",Valencia,27,1990,27,19,"1,706",19,2,2,2,0,0,2,0
102,Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1,1,90,1,0,0,0,0,0,0,0
103,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,19,1999,26,19,"1,706",19,5,2,5,0,0,2,0
104,Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3,3,270,3,0,0,0,0,0,0,0
105,Coke,es ESP,DF,Levante,31,1987,27,19,"1,817",20.2,4,0,4,0,0,5,1
106,Álex Collado,es ESP,FW,Barcelona,19,1999,1,0,85,0.9,0,0,0,0,0,0,0
107,Santi Comesaña,es ESP,MF,Rayo Vallecano,21,1996,25,23,"2,032",22.6,1,1,1,0,0,6,0
108,Duje ?op,hr CRO,FW,Valladolid,28,1990,18,6,687,7.6,0,0,0,0,0,2,0
109,Francis Coquelin,fr FRA,MF,Valencia,27,1991,26,20,"1,761",19.6,0,1,0,0,0,5,0
110,Iñigo Córdoba,es ESP,FW,Athletic Club,21,1997,23,15,"1,321",14.7,0,4,0,0,0,3,0
111,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,23,1995,36,20,"1,919",21.3,3,2,3,0,0,7,1
112,Diego Costa,es ESP,FW,Atlético Madrid,29,1988,16,14,"1,112",12.4,2,2,2,0,0,4,1
113,Jaume Costa,es ESP,DF,Villarreal,30,1988,21,18,"1,495",16.6,1,0,1,0,0,6,0
114,David Costas,es ESP,DF,Celta Vigo,23,1995,15,13,"1,173",13,0,0,0,0,0,4,0
115,Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,27,27,"2,430",27,0,0,0,0,0,2,0
116,Philippe Coutinho,br BRA,"FW,MF",Barcelona,26,1992,34,22,"2,018",22.4,5,2,5,0,0,2,0
117,Sebastián Cristóforo,uy URU,"MF,FW",Getafe,24,1993,15,4,450,5,0,2,0,0,0,3,0
118,Cucho,co COL,FW,Huesca,19,1999,34,25,"2,150",23.9,4,3,2,2,2,6,0
119,Marc Cucurella,es ESP,"MF,FW",Eibar,20,1998,31,26,"2,354",26.2,1,2,1,0,0,6,0
120,Iván Cuéllar,es ESP,GK,Leganés,34,1984,34,34,"3,055",33.9,0,0,0,0,0,5,0
121,Sergi Darder,es ESP,MF,Espanyol,24,1993,34,32,"2,709",30.1,5,2,5,0,0,8,1
122,Moisés Delgado,es ESP,DF,Valladolid,24,1994,3,3,270,3,0,0,0,0,0,1,0
123,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,21,1997,29,20,"1,661",18.5,8,5,8,0,0,1,0
124,Franco Di Santo,ar ARG,"FW,MF",Rayo Vallecano,29,1989,6,1,172,1.9,0,0,0,0,0,1,1
125,Mouctar Diakhaby,gn GUI,DF,Valencia,21,1996,22,16,"1,580",17.6,2,0,2,0,0,9,0
126,Brahim Díaz,es ESP,FW,Real Madrid,18,1999,9,5,376,4.2,1,1,1,0,0,0,0
127,Javier Díaz,es ESP,GK,Sevilla,21,1997,1,1,90,1,0,0,0,0,0,0,0
128,Adrián Diéguez,es ESP,DF,Huesca,22,1996,9,8,749,8.3,0,0,0,0,0,3,0
129,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,24,1993,21,21,"1,890",21,0,0,0,0,0,3,0
130,Papakouli Diop,sn SEN,MF,Eibar,32,1986,28,27,"2,352",26.1,1,1,1,0,0,11,0
131,Djené,tg TOG,DF,Getafe,26,1991,34,34,"2,976",33.1,0,0,0,0,0,13,2
132,Marko Dmitrovi?,rs SRB,GK,Eibar,26,1992,24,24,"2,160",24,0,0,0,0,0,3,0
133,Jaume Doménech,es ESP,GK,Valencia,27,1990,4,4,360,4,0,0,0,0,0,0,0
134,Cheick Doukouré,ci CIV,MF,Levante,25,1992,9,3,318,3.5,0,0,0,0,0,1,0
135,Seydou Doumbia,ci CIV,FW,Girona,30,1987,17,5,541,6,2,0,2,0,0,2,0
136,Óscar Duarte,cr CRC,"DF,MF",Espanyol,29,1989,11,7,660,7.3,0,0,0,0,0,0,0
137,Rubén Duarte,es ESP,DF,Alavés,22,1995,33,33,"2,772",30.8,0,0,0,0,0,10,1
138,Hugo Duro,es ESP,"MF,FW",Getafe,18,1999,11,5,417,4.6,0,0,0,0,0,0,0
139,Raphael Dwamena,gh GHA,FW,Levante,22,1995,12,1,222,2.5,0,1,0,0,0,0,0
140,Dennis Eckert,de GER,FW,Celta Vigo,21,1997,9,1,216,2.4,0,0,0,0,0,0,0
141,Aritz Elustondo,es ESP,DF,Real Sociedad,24,1994,27,24,"2,254",25,1,0,1,0,0,5,0
142,Gorka Elustondo,es ESP,MF,Rayo Vallecano,31,1987,5,3,285,3.2,0,0,0,0,0,1,0
143,Rodrigo Ely,br BRA,DF,Alavés,24,1993,5,5,430,4.8,0,0,0,0,0,1,0
144,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,26,1992,36,27,"2,282",25.4,5,6,2,3,3,5,1
145,Emerson,br BRA,DF,Betis,19,1999,6,4,317,3.5,0,0,0,0,0,1,0
146,Youssef En-Nesyri,ma MAR,FW,Leganés,21,1997,31,22,"2,106",23.4,9,2,9,0,0,7,0
147,Sergi Enrich,es ESP,FW,Eibar,28,1990,35,30,"2,582",28.7,7,4,7,0,0,4,0
148,Javier Eraso,es ESP,"MF,FW",Leganés,28,1990,13,9,631,7,0,0,0,0,0,2,0
149,Gonzalo Escalante,ar ARG,MF,Eibar,25,1993,32,18,"1,789",19.9,4,1,4,0,0,6,0
150,Sergio Escudero,es ESP,"DF,MF",Sevilla,28,1989,21,18,"1,545",17.2,0,1,0,0,0,8,1
151,Bernardo Espinosa,co COL,DF,Girona,29,1989,31,31,"2,727",30.3,1,1,1,0,0,6,2
152,Beñat Etxebarria,es ESP,MF,Athletic Club,31,1987,27,25,"2,031",22.6,1,2,1,0,0,8,0
153,Xabier Etxeita,es ESP,DF,Huesca,30,1987,31,30,"2,677",29.7,4,0,4,0,0,10,0
154,Zouhair Feddal,ma MAR,DF,Betis,29,1989,21,19,"1,702",18.9,1,1,1,0,0,7,0
155,Aitor Fernández,es ESP,GK,Levante,27,1991,16,16,"1,440",16,0,0,0,0,0,0,0
156,Andrés Fernández,es ESP,GK,Villarreal,31,1986,6,6,540,6,0,0,0,0,0,2,0
157,Borja Fernández,es ESP,"MF,DF",Valladolid,37,1981,19,10,841,9.3,0,0,0,0,0,4,0
158,Joaquín Fernández,es ESP,"DF,MF",Valladolid,22,1996,13,9,839,9.3,1,0,1,0,0,2,0
159,David Ferreiro,es ESP,"FW,MF",Huesca,30,1988,35,23,"2,280",25.3,1,3,1,0,0,5,0
160,Facundo Ferreyra,ar ARG,"FW,MF",Espanyol,27,1991,9,1,211,2.3,1,0,1,0,0,2,0
161,Junior Firpo,es ESP,"DF,MF",Betis,21,1996,24,22,"1,937",21.5,3,4,3,0,0,7,0
162,Mathieu Flamini,fr FRA,MF,Getafe,34,1984,10,4,453,5,0,0,0,0,0,5,0
163,Pablo Fornals,es ESP,"MF,FW",Villarreal,22,1996,35,28,"2,479",27.5,2,3,2,0,0,4,0
164,Dimitri Foulquier,fr FRA,"MF,FW",Getafe,25,1993,25,23,"1,799",20,3,2,3,0,0,7,0
165,Javi Fuego,es ESP,MF,Villarreal,34,1984,5,3,233,2.6,0,0,0,0,0,1,0
166,Ramiro Funes Mori,ar ARG,"DF,MF",Villarreal,27,1991,31,29,"2,627",29.2,2,1,2,0,0,15,0
167,Javi Galán,es ESP,"DF,MF",Huesca,23,1994,16,16,"1,440",16,0,2,0,0,0,7,0
168,Álex Gallar,es ESP,"MF,FW",Huesca,26,1992,25,10,"1,009",11.2,4,1,3,1,1,2,0
169,Enric Gallego,es ESP,FW,Huesca,31,1986,19,17,"1,539",17.1,5,1,5,0,0,4,0
170,Álex Gálvez,es ESP,DF,Rayo Vallecano,29,1989,17,17,"1,412",15.7,1,0,1,0,0,6,0
171,Kévin Gameiro,fr FRA,FW,Valencia,31,1987,33,16,"1,612",17.9,6,1,6,0,0,1,0
172,Cristian Ganea,ro ROU,MF,Athletic Club,26,1992,1,1,49,0.5,0,0,0,0,0,0,0
173,Ezequiel Garay,ar ARG,DF,Valencia,31,1986,24,24,"2,136",23.7,2,0,2,0,0,4,0
174,Borja Garcés,es ESP,FW,Atlético Madrid,18,1999,1,0,20,0.2,1,0,1,0,0,0,0
175,Alberto García,es ESP,GK,Rayo Vallecano,33,1985,17,17,"1,530",17,0,0,0,0,0,1,0
176,Aleix García,es ESP,MF,Girona,21,1997,31,20,"1,663",18.5,2,1,2,0,0,1,0
177,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,25,1992,35,17,"1,766",19.6,4,2,4,0,0,3,0
178,Borja García,es ESP,"FW,MF",Girona,27,1990,33,30,"2,629",29.2,1,3,1,0,0,0,1
179,Dani García,es ESP,MF,Athletic Club,28,1990,29,29,"2,476",27.5,0,1,0,0,0,13,0
